Liatháin,sciatháin
nDroichead,dhroichead
Saoire,saoire
bhuailfeadh,mbuailfeadh
Jo,J
iallach,salach
Deimhníodh,deimhníodh
himirce,himirt
tiomána,iománaí
captaen,chaptaen
ma,mi
ró,rl
Chaill,chaill
mhéadar,mhéadú
gt,g
baisteadh,aisteach
Spidéil,ospidéil
bhia,dhia
darb,dara
théarmaí,téamaí
raon,rann
ord,or
úd,d
cáil,cháil
Mhaoile,shaoil
fhilíocht,filíochta
subh,dubh
Mannion,Marion
scagaire,sagairt
Dan,Éan
chúiteamh,chaitheamh
Bl,Bí
cac,rac
seolta,sheolta
gaa,goa
mhúinteoirí,mhúinteora
Aontaíodh,ionsaíodh
Tuigimid,tuigimid
tár,cár
ra,rac
fí,tí
Beagnach,Bealach
Phoist,Poist
thoradh,choladh
beith,bith
bPáirtí,bPáirc
n,Ón
Ana,Anam
lár,sár
Jan,ban
nglúin,glúin
olla,oll
bua,mbua
bréagach,bradach
h,u
goile,gile
Word,World
meantán,leannán
dhe,dhea
chuimhníonn,chuimsíonn
nGradam,ngradam
Imeacht,ceacht
Blasta,blasta
Aonghus,Aonghusa
gCaomhach,Caomhach
cholúin,chiúin
pas,pass
Chonac,chonac
tháirgí,dtáirgí
bháis,bháid
bunleagan,bhunleagan
iarr,carr
Did,Die
Be,B
Aird,Ard
Mi,i
dtógann,thógann
He,be
Os,Or
síolta,míolta
theorainn,teorainn
scanradh,carnadh
Chosain,Cosaint
babhta,bhabhta
c,y
ac,am
ceatha,ceaptha
faigheann,oigheann
Tacaíonn,tacaíonn
Tomi,Tom
comhionannas,chomhionannais
dhearna,chearta
Conallach,gConallach
núicléach,núicléacha
Misneach,Mionlach
At,An
ni,ná
Ranna,Éanna
Maraíodh,ardaíodh
beartas,bearla
We,e
tógtha,tugtha
Ó,Ós
Are,Arú
bailiúchán,bailiúcháin
Seo,Se
ol,olc
Denis,Denise
Young,young
ceannas,gceannas
agat,aga
doigh,ndoigh
caithfear,caitear
better,letter
neiri,neirí
deis,dris
thugadh,thoradh
d,b
Chumann,Chumainn
scileanna,ciceanna
chatha,chath
lasta,blasta
reachtaíochta,reachtaíocht
pictiúirí,bpictiúir
Bua,nua
act,alt
Chatháin,Chathair
thagann,tugann
Ísiltír,Ísiltíris
Juan,cuan
Mic,cic
sáite,áite
ní,lí
dé,é
Sláinte,táinte
W,i
cath,ath
i,p
Riarthóir,dearthóir
fheara,fhearg
Fort,For
Bean,Buan
Bhealtaine,Breataine
coiligh,oinigh
teoirice,theoiric
chuirtí,chuirfí
Great,treat
Leary,Leahy
Mé,Mó
Aitheantas,Aitheantais
Chéasta,bhlasta
Mháirt,Mháire
mso,mo
achrann,lóchrann
dáta,dána
t,á
ol,ola
Cine,fine
bata,fata
gcarbón,carbón
tiarna,thiarna
tabhair,chabhair
Lao,Law
mear,mar
pas,gas
Mícheál,Mhicheál
drochaimsire,drochaimsir
o,os
beag,beaga
seal,seat
Arsa,Ársa
hiar,riar
pictiúir,pictiúr
nar,gar
cúram,cúraim
nG,ne
goirt,ghoirt
Curaidh,Cuirfidh
Gorta,Gonta
sheal,seal
Chathal,chatha
mbuaiteoirí,buaiteoirí
Croí,Crom
bhoird,bhord
gcosa,gcosc
Bainne,bainne
daonnacht,dhonacht
thosach,thosaigh
sciorradh,sciobadh
heachtra,heachtraí
fhiacla,fhiacail
Craoltóireachta,craoltóireachta
bPáirtí,báistí
earráid,earnáil
Diabhal,diabhal
Rá,tá
Ultaigh,hUltaigh
Rúis,cúis
dóchais,dóchas
chamáin,camáin
haistí,aistí
bogha,bogtha
tua,tu
Hall,sall
RC,R
lucha,locha
meá,mheá
Theangacha,dteangacha
den,cen
Ross,Rosa
PIFC,IFC
scór,scóir
stuff,stuif
eisteacht,inteacht
fhaisin,mhaisiú
Ceo,leo
bhaill,bhall
máthar,táthar
deasc,measc
easa,leasa
fhilleann,fheileann
capaill,chapaill
RC,Rí
Aip,Air
Chluain,Chlann
lad,iad
oir,soir
teideal,theideal
Foghlaim,Foghlama
Mas,Mass
morning,working
Earrach,bagrach
bhforógra,bhfógra
dob,dom
tÚdarás,Údarás
imeartha,deartha
bruscar,bruscair
Gaillimhe,Ghaillimh
ah,bh
Shin,Shinn
ngrá,grá
achrann,abhann
Iarainn,againn
tholgadh,thoradh
tAthair,Athar
forbairt,forbairtí
rón,róin
Eachtraí,eachtraí
Thuathail,thuathail
gcuairteoirí,cuairteoirí
Deas,Das
Séamus,Shéamus
comhar,comhra
feiliúnaí,feiliúnach
im,um
Ms,Mí
Blianta,bhlianta
binse,bhinse
chúrsa,chúrsaí
Gara,Gaora
chíoradh,chogadh
Cuireann,fireann
céimí,céim
dhéanach,déanamh
Scannal,cannaí
Póstaer,phóstaer
airithe,áirithe
Deis,Dei
Bealach,gaelach
tubaiste,ambaiste
bacanna,canna
Mhuintir,mhuintir
AN,Ab
bunachar,bhunachar
reilige,reilig
dadaidh,madadh
ann,fann
tuigfidh,ligfidh
phléann,léann
comóradh,conradh
fuil,fail
cheil,fheil
seomra,seodra
fealsamh,seasamh
ga,la
dóchasach,dúchasacha
Éil,nil
comharsa,gcomharsan
deireann,deireanaí
cruinn,cruinne
luite,luaite
deiseanna,ceisteanna
Store,Stone
carr,car
Liath,liath
bhroinn,ghrinn
Sin,Sinn
bacanna,pasanna
ghaisce,aisce
cheantair,ceantar
our,ur
sheolta,síolta
craolta,crosta
dúnta,dánta
Majella,Macalla
ceadúnais,gceadúnas
taom,tam
ainmniúchán,ainmniúcháin
Daithí,Dáithí
rí,ro
chosain,chaoin
cheacht,chleacht
doimhin,cuimhin
dtiocfadh,dtiocfaí
choladh,cogadh
Pol,gol
sar,nar
réad,read
bhliantúil,bliantúil
Mor,nor
gan,can
Aodha,hAodha
gCluiche,Chluiche
ruathair,nathair
croitheadh,scoitheadh
dáilcheantair,ndáilcheantar
call,caill
mbóthar,bóthair
oifigiúl,oifigiúil
Phleanáil,pleanáil
Síos,níos
teastais,theastas
Bia,via
litríocht,litriocht
Iar,gar
ghlas,ghlac
rása,ársa
pholaitiúil,pholaitiúla
deasa,easa
José,Josh
mhóra,móra
héinne,éinne
Lee,Leo
Ranna,Ranga
Nollag,nollag
lig,gig
Kinsale,Kindle
Don,Dog
Star,Siar
Béal,Beal
Cheathrú,Ceathrún
gheilleagar,gheilleagair
contaetha,chontaetha
ndomhan,domhain
Éire,úire
mhíniú,shíniú
Déarfadh,Dhéanfadh
cáineadh,fuineadh
Dúradh,dúradh
Cheanada,Canada
Hart,Hare
bhroinn,chrainn
O,j
luaithe,uaitse
ath,ata
nGleann,ghleann
Nath,ath
seachas,feachtas
shaoirse,daoirse
tosaíocht,iomaíocht
Muiris,Mhuiris
Ar,Air
bhuille,bhille
Fear,Fuar
déanfar,méanar
ne,ná
cár,cá
B,t
seasfaidh,leagfaidh
maolú,maslú
Smaointe,maoine
scríobhann,scríobhaí
tragóid,agóid
eochair,achair
dhaltaí,réaltaí
cur,cár
cúnaimh,cúraim
hálainn,halainn
Phlean,Plean
Ta,sa
Mhuineacháin,Muineacháin
bhlagmhír,blagmhír
mar,marc
Soláthar,sholáthar
Seirbhís,tSeirbhís
Cuan,Chan
Ama,Amú
her,hey
Game,Games
tseachtain,sheachtain
tv,th
Mí,Mír
Bead,Bean
A,i
mheasta,mheasa
deis,deas
Ceithre,leithne
dha,dea
h,é
like,liked
Bí,lí
SS,Sr
Díreach,díreach
Ceiliúradh,cheiliúradh
Éisteacht,éisteach
Alt,Ali
ascaill,caill
threoir,throid
Son,non
tig,tag
fear,lear
Deireann,Éireann
muir,cuir
trí,tír
mhionlach,mhisneach
thank,think
Chloich,Chnoic
thoiligh,fhoilsigh
Cuid,muid
titim,thitim
Ba,ea
Line,Live
thacaíonn,tacaíonn
iontach,ciontach
neamhaí,namhad
Seachas,Seachain
iontacha,fiúntacha
chanadh,chéasadh
Tar,far
thithe,hithe
gheobhadh,gheobhaidh
mhealladh,mheascadh
dtitfeadh,dteipfeadh
San,wan
bus,bás
Laois,haois
Dobhair,arbhair
Translate,translate
áirithe,háirithe
SA,Sa
Chualáin,Chanáin
DS,Do
Bay,Bar
chlos,clos
ca,la
Claire,Clare
gcabhair,gabhail
nár,sár
bean,beat
Cás,cás
Ceoil,ceoil
réaltra,réalta
ceard,heard
Geanainn,feamainn
z,i
mé,é
bhróga,bhróg
labhairt,tabhairt
sinn,binn
ceamara,ceamaraí
pas,péas
Náisiúin,náisiúin
Caol,Carol
rothair,athair
Gove,move
Pósadh,pósadh
Les,Los
Tréimhse,tréimhsí
aice,aicme
áit,mit
hear,hea
Bord,word
seoladh,sheoladh
siúd,siad
d,z
tionscail,tionscal
Físe,físe
gabhair,athair
bpróiseas,phróiseas
chreideann,creideann
Seal,real
Siri,Siria
cabhair,meabhair
Thiobraid,Tiobraid
L,x
cosa,cos
sex,see
critéir,cráitéar
thuigim,thuairim
chomhrialtas,gcomhrialtas
Fad,sad
dtugtaí,drugaí
beartas,teastas
cultúir,chultúr
Roimh,Roimhe
Mar,dar
léachtóir,deachtóir
diaidh,ndiaidh
coinne,gcoinne
háirithe,airithe
ghreamú,dhream
Mol,col
shaothar,shaothair
dtoghfaí,dtógfaí
teachta,léachta
Ghráinne,práinne
Make,Mike
We,re
Bleá,Bhleá
Box,Bon
aithneofá,aithneodh
Donnchadha,Donnchadhol
táim,taim
dírithe,airithe
cheannaire,cheannaigh
Maoiniú,Maitiú
sí,sé
MT,Mr
fheicim,fheirm
luaite,buaite
Dár,Dán
Mas,as
choláistí,gcoláistí
dosna,osna
bhunadh,bheadh
athuair,athair
Ghleann,ghleann
rólanna,nósanna
Kay,pay
cruthúnas,chruthúnas
tras,áras
Late,Lake
cruthaitheacht,chruthaitheach
tabhachtaí,tabhachtach
Buiséad,Bhuiséad
marcaíocht,barraíocht
iontais,liúntais
ghairid,háirid
trasnán,trasnú
Choróin,Chosain
thógfadh,thógfaidh
gcineál,cineál
habairtí,habair
Gar,mar
Stander,Standún
árd,ár
iar,siar
Aistear,aistear
Breathnach,Bhreathnach
dheireanach,dheireannach
mna,na
traenacha,traonach
básanna,busanna
bail,ball
To,ho
tost,thost
yr,ur
dó,dhó
buaille,bhailte
bus,bos
cúil,cúis
chomhaireamh,chomhairimh
hiomláine,iomláin
neamhní,neamh
Dad,had
mhúineadh,múineadh
rannóga,rannta
neachtc,nuachta
ortha,rotha
Níl,níl
háiseanna,háiteanna
dtionchar,thionchar
e,he
Creideann,Creideamh
an,fan
mil,il
liath,leath
if,i
Where,where
maisithe,coisithe
bádh,bídh
Bon,gon
Eolas,Eolais
bun,bua
tráthnóna,thráthnóna
thugadar,thugamar
Ordú,ardú
Reachtaire,Reachtain
seachas,seachtar
binse,mbinse
chloch,cloch
cathain,athair
ticéidí,ticéad
ndánta,dánta
chosán,chosáin
bhféile,bhaile
Á,v
bhuairt,bheirt
Dara,Dark
máthair,bóthair
cosúlacht,cosúlachta
cumainn,chrainn
et,set
Ba,ha
deachair,leabhair
Shé,shé
titeann,oireann
Ainmním,Aithním
dóthain,bóthair
luachra,nuachta
cá,gá
claí,chlaí
eo,el
nar,near
god,gad
Iarthar,iarthar
Eoghain,domhain
dheimhnigh,chuimhnigh
tan,lan
ndéarfadh,déarfadh
bhonn,bhinn
es,en
páirc,páirce
My,Má
bealach,ghealach
ceannacht,mbeannacht
ghleann,gclann
Samhlaigh,hamhlaidh
inseoidh,inseodh
raithneach,maoithneach
staid,said
margadh,carnadh
Ceadaoin,Céadaoin
air,aire
boinn,binn
Searmanas,searmanas
DO,Dó
Fadhb,fadhb
seol,seal
sách,sámh
Buíochas,Buiochas
cosaint,caint
chuirim,chuirfí
ionadh,ionad
Póilín,póilín
idirlíon,idirlíne
gcathaoir,cathaoir
Pháirtí,Páistí
Buile,huile
tréan,bréan
hanam,anam
réime,béime
ollscoile,hollscoile
Inse,hInse
ed,ad
tAthair,hothair
fhirinne,fháinne
atá,tá
te,se
gcluichí,gcluiche
Sheol,Shell
hiriseoireachta,iriseoireachta
cuimhneacháin,chuimhneacháin
scileanna,stíleanna
Cadhain,Cathair
chósta,phósta
Bonn,donn
gClár,gclár
eitilt,eitilte
coireanna,cúirteanna
uan,suan
di,dó
caill,call
Leas,Leac
bob,boc
mealladh,ghealladh
www,wow
aistrigh,istigh
feabhas,bhfeabhas
naíonán,naíonáin
Samhlú,samhlú
docht,nocht
aontaíodh,aontaíonn
isn,ise
gnéasach,gcnuasach
Was,bas
fanfaidh,leanfaidh
chlainne,chruinne
bhainc,bhain
Lean,dean
Síne,Síle
phríomhchathair,bpríomhchathair
P,h
chosain,chosáin
Cúirteanna,Cainteanna
Indiach,ndiadh
deineadh,dáileadh
Táid,báid
Dháithí,Dhaithí
Ranna,anna
seas,eas
ghuth,guth
haghaidh,aghaidhe
géarchéime,iarchéime
dho,fho
phearsa,dheasa
gceantar,gceannas
ghabhann,habhann
Thuairisg,Thuairisc
tionscal,tionscail
Thiarna,thiarna
Déise,nDéise
méar,mhéar
gCoiste,Chiste
meas,mas
thuairiscí,thuairimí
corraithe,ciorraithe
staidéir,staidéar
Cú,Chú
Port,Post
Pan,an
go,to
j,i
pictiúirí,pictúir
achainí,achrainn
aid,said
ghás,gás
fhoirne,foirfe
cáiliúil,háitiúil
líomhaintí,líomhain
agam,agat
réabhlóidí,éabhlóid
fuaireas,fuaire
saoirse,saoiste
dealraimh,dealramh
úir,Óir
seasfadh,sheasfaidh
é,m
íslithe,ídithe
mbuiséad,mbuidéal
dúil,súil
cromadh,craoladh
For,Fox
comhaireamh,comhairleach
Dhuibhneach,Duibhneach
bhfillfidh,fillfidh
ah,au
Cór,Cur
dhéanfaidh,bhfanfaidh
mhairbh,gharbh
Ahh,Ath
Reifreann,ifreann
mas,bas
Catháin,Cháin
comhaltaí,gcomhaltaí
Thairis,Thuairisc
bán,dán
Airne,Aire
ghrianghraf,griangraf
gabhadh,gabhair
pinsean,ficsean
chreidim,creidim
páirtí,páistí
mhúineadh,mhúineann
staonadh,stopadh
leanfaí,leagfar
innéacs,inneach
Gur,gur
chonair,choir
dar,iar
praiticiúil,praiticiúla
cheathrar,ceathrar
meabhrach,fabhrach
World,Word
inar,nar
gcolúnaí,colúnaí
Breis,Bris
hairí,haird
Davis,Davies
nglactar,ghlactar
cháipéis,pháipéir
fíneáil,físeáin
eolaire,eolaithe
Republic,public
éard,éad
Nóra,móra
shon,shos
nan,na
cuimhním,chuimhní
Íochtar,uachtar
Air,Óir
take,make
tiarnaí,bearnaí
Cá,Cé
thugadh,thugas
saoil,gaoil
fhear,hear
Gaelscoil,nGaelscoil
Cat,Can
Sé,yé
salainn,Álainn
bí,hí
nár,inár
tuairim,tuairime
romhainn,rachainn
Clay,play
Féinne,Fáinne
iomlán,iomláin
son,lon
Futa,Fata
Buí,cuí
comórtas,comónta
seol,seoil
cruinniú,gcruinniú
chuile,chuige
rian,rain
hate,hat
bhus,bhur
gus,gur
géarchéime,ngéarchéim
NYC,NY
p,Ó
dtugadh,thugadh
phós,phóg
gradaim,gruaim
bá,má
Chomhairleoir,Chomhairleoirí
gciorcal,ciorcal
críonna,críocha
ndeir,ndeor
Chiste,Choiste
Scríbhneoireachta,scríbhneoireachta
leithris,láithriú
Chomhaontú,comhaontú
Hé,Ha
Tuigeann,thuigeann
point,poist
gabhair,Ábhair
Hata,hata
ii,is
cuimsitheach,chuimsitheach
Liag,Lig
deachair,achair
Cláraigh,Cláraithe
live,life
cheapas,cheannas
coinníodh,coinníoll
Rita,Rith
seachtaine,seachtainí
theanga,theangach
Ceannais,Ceannairí
ionann,hionann
ospidéal,hospidéil
gabhail,tabhair
dátheangacha,theangacha
Ríona,Ríoga
I,d
Cine,sine
Dé,dé
tsúil,súil
let,led
muis,muir
balla,bhalla
Coen,Cen
fhógair,thagair
den,deá
Rí,fí
in,éin
eolaíoch,eolaíochta
van,éan
nos,los
Das,das
íocaíocht,eolaíocht
Rabhadh,Riabhach
dheireann,fheileann
athair,athar
stories,series
Bhanc,Banc
DJ,Dé
poc,boc
Hart,Harte
Aisteach,éisteacht
méara,méar
Cuaig,Cuain
y,i
idirbheartaíocht,idirbheartaíochta
Coleman,Corkman
Fomhair,comhar
Fearg,fearg
tsolais,solais
Conn,Cionn
dreapadh,preabadh
tuaithe,tuath
re,rte
Éad,sad
fúinne,fúinn
trá,tré
choiste,chainte
aye,age
Mura,gura
gcathair,leathair
pian,mian
Aithneach,eitneach
Cainteoirí,múinteoirí
er,ed
chaillfidh,bhfillfidh
Bronntanas,bronntanas
bpolasaithe,polasaithe
ban,tan
faisean,ficsean
Scoir,Scoil
aireach,litreach
des,dem
e,ye
Poitín,toitín
gá,á
Samhain,amháin
alla,allas
Conaire,eolaire
Laghdú,laghdú
pár,tár
bhforbairt,forbairt
Túr,Tar
aerfoirt,aerfort
Br,yr
comhdhúil,chomhdhúil
fíon,líon
Mhaoile,Mhaol
Deineadh,gineadh
ndúchas,dhúchas
creideamh,creidimh
AHaoine,maoine
tacaíochta,radaíochta
buaite,suaite
a,l
Scrogall,drogall
Plé,lé
V,p
ve,re
tacaíochta,thacaíocht
Oireachtais,tOireachtas
Tá,ná
soul,sul
Teamhair,leathair
names,games
faoinár,faoinar
scian,scan
U,Ui
thosaigh,tosaigh
labhair,Ábhair
Aimsigh,Aimsir
choir,choim
Cad,Cas
thrian,trian
Cait,uait
à,v
Dev,Den
fhoirne,bhfoirne
Michéal,Michael
méadú,méad
clú,cúl
Nocht,nocht
mionúir,mhionúir
chatagóir,catagóir
ball,balla
ndéanfadh,ndéanamh
Francach,bhFrancach
Soisear,sóisear
Gréagach,bréagach
imreoidh,imreoir
grá,ghá
míbhuntáistí,míbhuntáiste
ciúin,ciúine
da,dar
Gleoite,gleoite
_,a
fál,fás
maos,mas
Cúl,dúl
gleann,leann
bhronnta,bhronn
ed,úd
Right,might
Ríthe,ríthe
gal,gaa
Tost,cost
cirt,cúirt
Bhliana,bhlianta
Dead,Dear
Con,con
é,n
fill,aill
fa,fb
threibh,treibh
rath,ratha
Day,pay
bus,bís
Co,no
tharainn,halainn
Gréagach,Gréagaigh
dhomhanda,domhanda
scor,saor
g,í
bi,bá
fial,fia
Bhóthar,Bóthair
caitheann,itheann
Cheadaigh,mhéadaigh
fhuacht,cheacht
line,tine
Thugadar,Thugamar
ceantracha,ceathracha
cac,chac
Steve,Steven
dearadh,scaradh
g,u
bhfuinneog,fuinneog
his,éis
dhearna,dhearmad
Sheol,cheol
oigheann,aoibheann
húdar,púdar
mon,mion
B,w
Luí,Lí
bhíodar,bhítear
Sláinte,tsláinte
thuiscint,tuiscint
scoilteanna,scoileanna
in,n
Mheá,Mhá
cúl,clú
sáraíonn,sáraíodh
mhór,chór
Muid,muid
Cultúir,cultúir
math,match
Lár,Láir
coinnle,roinne
aris,dris
dheiridh,dheireadh
Féir,féir
ám,m
LA,L
hairithe,léirithe
pubanna,pocanna
deireanach,deirneach
won,gon
arsa,Ársa
AT,Al
óir,fir
dochair,sochar
déanadh,ndéanamh
cuimhne,chuimhní
póstaer,pósta
point,péint
leathré,ceathrú
fireann,filleann
dhe,dho
Praghas,rabhas
eangach,beagnach
mó,má
costais,iontais
aithním,aithrí
Sruthán,guthán
chanadh,leanadh
Billy,Bill
ort,port
timpistí,dtimpiste
nor,níor
Cúl,Cúil
match,catch
naimhde,neimhe
ngluaiseacht,gluaiseachta
áin,áit
mionlaigh,mhionlaigh
C,Ó
hands,hand
eascainí,iascairí
thíos,chíos
nglacfar,nglactar
Léiríodh,léireodh
cú,ce
deonacha,dhonacht
Chorr,chorr
breathnaíonn,mbreathnaíonn
scríobh,scríbe
Porter,Potter
Aer,her
chirte,chirt
feistis,feisteas
hamharc,amharc
Freedom,freedom
TÁ,Tá
thuigeas,thuigtear
mhór,mhó
my,m
Rang,Ranga
saoiste,saoirse
bhróin,bhrón
Nod,Now
Creidtear,creidtear
aice,aisce
Co,Ce
labhair,gabhail
Cope,Cape
chothaíonn,mothaíonn
Ceantar,leanfar
Via,via
samhail,tsamhail
phainéal,phainéil
Bíodh,Bhíodh
básaithe,bunaithe
ndéanann,ndéanfainn
iarrtar,iarratas
Sibhialta,shibhialta
bhuaigh,thuaidh
Oh,h
Coileáin,oileán
chonair,chonnaic
Cuir,muir
ach,acú
gceannach,ceannacht
I,j
ban,bar
each,ach
Ró,Rá
glé,gné
dh,dhá
áite,sáite
Film,File
ailt,hailt
aon,aonú
wan,san
sine,side
gathanna,cathanna
Athbhreithniú,hathbhreithniú
scríobh,gcríoch
toitín,toitíní
úr,Úr
aontaíodh,ciontaíodh
sleachta,smachta
to,tí
Jo,Jr
Br,ór
mbeart,mbeirt
Sionainne,ionainn
chosnaíonn,choinníonn
mbuille,bhuille
ré,té
la,na
Lochlannach,Lochlannaigh
Sár,sár
winner,winners
imeacht,imeachtaí
Seoighe,Seoirse
chomharchumainn,comharchumann
leasainm,leagain
bun,run
dia,da
adh,Ádh
Breatnaigh,breathnaigh
d,k
cíos,níos
Bharraigh,earraigh
Sinn,binn
cé,gé
pics,pic
beacha,beach
Dan,Déan
sent,spent
fhoclóir,fhoclóra
eite,eile
Fíor,níor
cumhachtaí,chumhachtaí
clúdach,clúdaigh
Bionn,bionn
hiad,head
tástáil,teastáil
ad,au
Séard,séard
mbialanna,bialann
gaire,gairme
ghruaim,ghluais
Gnó,gnó
Gealladh,Gealach
tam,ham
mhianta,mianta
fail,fhail
Carrach,marcach
lasrach,lascadh
Tóchair,fómhair
cool,chol
scoilte,gcoiste
croíthe,ríthe
súl,iúl
héisteoirí,éisteoir
Breithlá,Breith
bileoga,bhileog
samhraidh,tsamhradh
tionchar,ionchur
tea,team
crainnte,clainne
AD,Aa
bhfeirm,fheirm
Chogadh,Coladh
c,Í
Leac,Leas
shníomh,gníomh
Baintear,caitear
aithneodh,aithneoidh
Captaen,captaen
chogadh,bhogadh
white,shite
ar,mar
bhailiú,bhaill
Fáilte,Failte
shealbhú,sealbhú
na,ga
bpointe,phointe
bhainis,bainim
Sr,r
r,y
salann,salainn
Rúise,cúise
chinnidh,chinneadh
fhabhar,hábhar
bhailte,hailse
geimhridh,gheimhridh
bed,led
he,hí
dona,donas
f,e
déanaimis,déanfaimid
word,world
Leabhair,Labhairt
Do,mo
ca,c
pháiste,fháilte
díolaim,díoladh
on,mon
Tosaigh,ionsaigh
bhróid,bhróin
carbóin,gcarbón
ye,yo
Was,as
shásamh,sásaimh
mhapa,mhara
tsaol,tsaoil
mórtas,mórtais
coistí,coiste
caid,faid
mbun,mban
info,into
mhaisiú,mhaidin
dTrioblóidí,trioblóidí
bonn,donn
theaghlach,dteaghlach
nóiméad,nóiméid
OidhreachtCD,Oidhreacht
Imeachtaí,imeachta
ly,lé
mhéad,mhéid
faightear,faighte
di,d
Connolly,Connell
suarach,amarach
cóipeanna,aipeanna
chuairt,buairt
iomláin,hiomlán
bialanna,bialainne
lí,dí
chostas,chontae
dóchasach,éadóchasach
Be,Ben
Buile,tuile
teic,tic
Trioblóidí,trioblóid
hin,shin
Ghealach,nGealach
Fiontraíochta,Fiontraíocht
dear,dearg
log,lig
le,l
K,Á
charr,cearr
fí,fís
its,ins
ghar,gar
all,ll
gu,tu
dhúshlánach,dúshlánach
Chomhar,dhomhan
láthair,hothair
hithe,ithe
leagadh,léasadh
athbhliain,leathbhliain
Pháirtí,Pháidí
bhfuair,huair
gig,big
It,at
mad,lad
nGaeilgeoirí,Gaeilgeoir
comhairliúcháin,comhairliúchán
Osclaíodh,osclaíodh
Scott,Scoth
Son,son
buail,guail
scrúdaithe,clúdaithe
ealaíonta,healaíonta
eite,ite
buail,bhail
cúntóirí,cúntóir
cumtha,chumtha
Mannion,Manson
Cár,nár
Bank,Band
he,she
Lionnáin,Liotuáin
chúil,chúis
Sinsear,shinsear
chodladh,coladh
To,TÉ
thosach,dtosach
fhéin,fhein
Is,Ise
Eochaill,chaill
DC,Dé
Fad,had
shinsear,sóisear
Pholainn,mholann
cuirim,chuirim
Tuairisc,tuairisce
eye,ye
lang,lann
carachtar,ceachtar
bháistí,bpáistí
Rann,ann
d,p
thá,ghá
déanach,séanadh
Bheo,bheo
iománaí,hiomána
Chollaigh,Cheallaigh
mbó,mba
gcáil,gcáin
costasaí,costas
gCoimisinéir,coimisinéir
tola,fola
Hé,yé
parlaimint,parlaiminte
thógas,thugas
Aa,ta
Breithe,Bheith
scéalaí,séala
áil,áit
Leon,leon
thaistil,taistil
gcreideamh,chreideamh
óir,áir
leas,leag
es,os
Misneach,inneach
gcúigí,cúigí
Bhearna,Bearna
fearg,fearr
Donnchadhol,Donnchadha
chúigear,chúige
sóisialach,sóisialachas
eagráin,eagrán
mholadh,mhodh
chabhrach,mheabhrach
teannta,tonnta
cor,chor
mbíonn,bíonn
Céard,céard
thagadh,thoradh
sínithe,saoithe
scolaíochta,heolaíochta
óráidí,óráide
chuas,thuas
ngréasán,gréasáin
aoise,gaoise
Bainfidh,mbainfidh
cumha,cumtha
básanna,bacanna
Cúl,cúl
Ghleanna,cheanna
muir,muis
Frankie,Frank
fhéachann,féachann
Sleacht,Shleacht
eirí,airí
cheanna,cheann
leagfaí,leagan
aistriúchán,aistriúcháin
chumann,thugann
Mhuiris,thairis
liostaí,liosta
Mars,Mart
spéire,spéise
dhualgais,dhualgas
un,an
on,non
chlár,chlárú
hannamh,annamh
léamh,leamh
coisir,cóisir
Craoladh,Caladh
Tara,para
dúil,dúl
dh,dm
glacaim,glacadh
cinn,inn
scuaine,suaite
size,sise
Ah,Aw
Cath,Cathy
aisteacha,Éisteacht
Tí,TÁ
Mam,tam
díbeartha,deartha
Tuismitheoirí,tuismitheoiri
fóilleach,cailleach
Téarma,Téama
cás,cár
mic,mit
himpleachtaí,impleachtaí
It,In
Thá,Thú
bheatha,beatha
chríocha,chríochnú
sochaí,shochaí
ya,fa
sé,lé
bhféilire,féilire
ga,ma
Snámh,Snámha
ath,math
sheoladh,mholadh
Fuair,Fuaim
km,em
tráchta,tráchtála
ago,agó
costaisí,chostais
dréacht,préachta
Uí,tí
Luí,luí
dhéanaí,dhéanta
Seabhac,Seachas
bhlianta,bliana
sean,suan
huair,huaire
sheasas,sheasamh
Mise,mise
nan,nÉan
cliseadh,briseadh
Fios,sios
fhoireann,mhaireann
Y,k
tuairimí,dtuairim
tag,éag
sleachta,shneachta
aw,am
K,y
Fad,Éad
see,seen
síoraí,shíoraí
leasú,leasc
tionscadail,tionscail
Phoblacht,poblacht
tigh,tig
baileach,aireach
Mad,sad
phacáiste,pacáiste
M,Mc
nascadh,casadh
Failte,Fáilte
Pháirtí,pháistí
gin,ein
gael,gal
Al,al
mo,mí
tallann,tallainne
chinnte,cinnte
thoghcháin,dtoghcháin
faoinár,faoina
thuairiscí,thuairisce
Maidin,Maidir
léir,léim
leanadh,leanbh
luí,lí
Táimse,táimse
earraigh,iarraidh
paidrín,iaidín
teannta,reanna
oícheanta,hoícheanta
bhriste,bhailte
Se,me
muin,main
Léachtóir,léachtóir
sh,dh
chór,chód
in,ina
Phat,that
buíochas,bhíothas
charachtair,charachtar
Traolach,traonach
fhéadfaimis,bhféadfaimis
baill,bail
chlé,clé
ghaisce,gaiste
tarlaithe,ardaithe
gharbh,ghabh
gceantar,gceachtar
Gorma,Gorta
Im,um
Aontais,suntais
de,e
Drámaíocht,drámaíocht
Spórt,Sport
K,k
Leicester,Leinster
Braonáin,Bhraonáin
dé,gé
geallta,ghaolta
tigh,dtigh
FGB,FG
late,hate
fill,fial
Chosain,Chaoin
mi,mit
coisithe,céimithe
cuairte,chuairt
nu,np
inseacht,inneach
Donall,Donald
conspóidí,gconspóid
réaltra,altra
chúrsaí,cúrsaí
mire,Éire
bad,had
Aodáin,Aodán
dearmad,tearma
Zú,ú
lan,len
